id,cx,cy
Stanford University,450,450
UC Berkeley,366.62960837868684,210.49777917260354
MIT,237.62470667434508,467.614865570092
California Institute of Technology,419.2028479047446,204.5790674522572
Harvard University,510.4271378787532,402.74154949251823
Cornell University,396.58036828321747,504.8720679629446
Carnegie Mellon University,528.5214477408031,442.3351505392946
Princeton University,548.2088317927761,328.72496134903565
Yale University,398.51465726633774,560.6110119238406
University of Washington,355.18459407317175,439.5912786730251
University of Illinois at Urbana Champaign,408.8441074651404,364.2310110855704
University of Wisconsin at Madison,498.9948107964839,385.09591838283865
University of Pennsylvania,480.322437091193,359.56074528339474
Rice University,450.5071603189949,372.48499413376885
UCLA,468.69593665938356,378.8897244583604
New York University,418.9450177032361,408.45672874763596
University of Chicago,453.9763847544015,397.27226100571954
University of Texas at Austin,391.90526597471575,382.0161102493223
Brown University,340.17700483127356,141.98860940648282
Columbia University,433.0963217318394,375.9171313680575
University of Toronto,382.92998986078976,400.4044024112925
University of Rochester,403.6013740094512,402.94674861124525
University of Southern California,418.13874111333337,387.4141872009391
Johns Hopkins University,437.3196632006204,397.4013199623327
University of Massachusetts at Amherst,603.9430522840815,403.9630181150921
UC San Diego,361.58310804890493,508.54475194826165
University of Maryland at College Park,525.6466111999002,591.7981246137746
University of Michigan,584.4972811608305,525.3582819862655
University of North Carolina at Chapel Hill,482.73906908133847,394.4297538026268
Duke University,419.48200129259226,541.8073859582094
State University of New York at Stony Brook,435.4243240747974,568.5250532847418
UC Irvine,553.2807069308984,454.520025545382
Dartmouth College,469.14631319255244,406.6294423261581
University of Virginia,326.8695936691241,157.9067944406254
Purdue University,154.69724911777692,451.9281759711984
University of Minnesota at Minneapolis,469.4121913940607,564.3762754757648
Georgia Tech,422.9999857694696,516.2159879126759
Rutgers University,375.634611533215,484.322248278916
University of Arizona,336.85044441163427,240.7830375722168
Pennsylvania State University,308.1853248914333,165.7568918564738
Ohio State University,430.32152675862454,170.66234162489224
Northwestern University,396.20505001397794,422.18288922669814
Washington University in St Louis,175.4685527013338,504.05782611789783
University of Pittsburgh,411.6406181405149,152.83656300403513
Boston University,410.5520904512994,190.4212566803752
University of British Columbia,368.47875264991325,545.8417658047974
University of Oregon,208.54865455445054,437.66617064615014
Syracuse University,545.955546641782,664.573450599157
UC Santa Barbara,392.0257744738,468.453980641467
University of Utah,515.4279694433718,483.6849762415765
UC Davis,394.28870911584926,152.04081143409823
Texas AnM,301.37683244563027,220.32167051919288
University of Houston,397.64358968901405,204.7417134273445
Michigan State University,475.94659539685705,518.3985204113493
University of Waterloo,295.18682462369827,199.93656268930263
University of Colorado at Boulder,384.0213658368985,455.04644514710094
McGill University,523.0078938001997,417.92457559395405
CUNY Graduate Center,581.2326596015937,489.2872045743834
Case Western Reserve University,200.69006996301096,524.2291659814869
UC Riverside,403.7276956532678,479.90085180681376
University of Kansas at Lawrence,532.8169559520679,473.88012406040986
Florida State University,644.4493326218973,555.2046590718139
College of William and Mary,424.30760088220325,461.3980526199239
Lehigh University,588.9518894835118,314.1198589814316
University of Montreal,451.3036830038393,485.99343657901375
Simon Fraser University,375.645836470425,417.36091930930905
University of Illinois at Chicago,420.69275539373893,496.1186064936803
University of Cincinnati,646.022898753728,394.0078308042443
UC Santa Cruz,419.00464514123263,479.3499689875341
Rensselaer Polytechnic Institute,344.20102220019965,183.39372612769546
Southern Methodist University,408.1475211074382,456.312531828437
University of Central Florida,489.9055672394627,496.44233804599503
University of New Mexico,210.5160218489843,505.2506059001068
North Carolina State University,494.1917800736751,414.17700882897554
State University of New York at Buffalo,366.73992907590343,647.9059282454867
Stevens Institute of Technology,559.661131220209,638.9049176253792
Washington State University at Pullman,416.0501497835786,645.3924680207232
McMaster University,463.5551779741264,471.4508848349521
Brandeis University,436.5333473907437,476.31611570746645
University of Alberta,386.45087109429574,439.4027156833536
George Washington University,339.05969834295854,204.08517020970544
Polytechnic Institute of NYU,407.11945986633697,438.63249876450243
University of Iowa,437.0510845680672,415.6372062820503
University of Delaware,329.858542026653,179.2963623637705
Iowa State University,515.4026150313431,504.0088522950517
Vanderbilt University,558.1106214488183,269.8301062602569
University of Florida,358.78729048843326,149.23370695699714
George Mason University,307.7783106376283,185.3945060674149
University of Notre Dame,421.0088174158549,425.6653500543263
Wayne State University,644.9785583818834,574.0058207949453
University of Calgary,427.0679856295427,440.7688990276534
University of Louisiana at Lafayette,434.66825793666686,646.1350832081102
University of Western Ontario,525.8973223333841,656.1397284269938
Carleton University,476.12155202319684,616.0676628166083
Queens University,657.3784661634071,361.7014143899588
University of Wisconsin at Milwaukee,357.729969442839,236.66872752821803
Louisiana State University,321.81482351925996,196.7969168271525
University of Texas at Arlington,490.8505525712732,430.9044194213065
University of Ottawa,327.008679455423,507.27833016809893
University of Connecticut,192.40878657544403,508.8447789097279
Oregon Health and Science University,452.55752397662167,422.1699840084942
Arizona State University,377.6922949719024,141.11344353435445
Kansas State University,604.4868932925257,304.85361753415594
State University of New York at Albany,228.97382031760787,493.6359620975528
University of South Florida,472.3126471766036,421.69370914760293
Virginia Tech,508.0699334147523,439.1475100641356
Portland State University,348.4138357592806,166.0116798796627
University of South Carolina,311.756910356679,556.8126156637828
Missouri University of Science and Technology,307.4197807236732,446.58281949770833
University of Oklahoma,640.3314245491877,379.22330118340886
Indiana University,457.96410355674914,506.37422249861515
Illinois Institute of Technology,370.7206234713427,159.6961249860271
University of Tennessee at Knoxville,223.15147909737937,424.34684533998745
University of Miami,555.5091532383348,289.76670074275586
New Jersey Institute of Technology,439.300952707748,498.1954788496704
University of Kentucky,469.3763551025266,487.6397406146245
State University of New York at Binghamton,659.5369835291299,379.23072782254
Colorado State University,605.273036186617,275.42943065106203
University of Colorado at Denver,339.8376283832118,587.339937078679
University of Texas at Dallas,319.05575428900966,232.90386641839314
University of Rhode Island,533.8196089086828,633.9884766621378
Toyota Technological Institute at Chicago,380.7706922984517,192.4184522958999
Auburn University,479.24927599614034,637.9173854157806
Drexel University,379.5728470302066,171.19326264808024
